Bed Name,Site Code,Survey Date,Survey Day,NWSC Max Ext,Survey Month,Survey Year,Acres,Temp,Temp1 Shore Edge,Temp1 Water Edge,Temp2 Shore Edge,Temp2 Water Edge,Ave Temp Shore Edge,Ave Temp Water Edge
Aiston Preserve,AISP,2018-07-31,31.0,1.0,7.0,2018.0,0.1179025891108278,16.0,,,,,,
Aiston Preserve,AISP,2019-08-01,1.0,1.0,8.0,2019.0,0.1671668631808403,16.0,,,,,,
Aiston Preserve,AISP,2020-07-20,20.0,1.0,7.0,2020.0,0.327541565501017,,15.0,15.0,15.6,15.0,15.3,15.0
Aiston Preserve,AISP,2021-07-27,27.0,1.0,7.0,2021.0,0.2075287306305486,,14.44,14.44,,14.44,14.44,14.44
Aiston Preserve,AISP,2022-07-31,31.0,1.0,7.0,2022.0,0.2961717906768201,,20.0,20.0,20.0,20.0,20.0,20.0
Aiston Preserve,AISP,2023-07-20,20.0,1.0,7.0,2023.0,0.2759983014053218,,12.2,12.2,12.2,12.2,12.2,12.2
Aiston Preserve,AISP,2023-07-20,20.0,0.0,7.0,2023.0,0.3578506982057835,,12.2,12.2,12.2,12.2,12.2,12.2
Aiston Preserve,AISP,2024-07-21,21.0,1.0,7.0,2024.0,0.3439853630796275,,14.4,14.4,15,15,14.7,14.7
Aiston Preserve,AISP,2024-07-21,21.0,1.0,7.0,2024.0,0.4213896196150675,,14.4,14.4,15,15,14.7,14.7
Biz Point,BZPT,2017-07-25,25.0,1.0,7.0,2017.0,0.4623559216720856,11.0,,,,,,
Biz Point,BZPT,2018-07-17,17.0,0.0,7.0,2018.0,0.3804726767306705,14.0,,,,,,
Biz Point,BZPT,2018-08-13,13.0,1.0,8.0,2018.0,0.6510771934464323,12.0,,,,,,
Biz Point,BZPT,2018-09-10,10.0,0.0,9.0,2018.0,0.5578624102972853,11.0,,,,,,
Biz Point,BZPT,2019-07-30,30.0,0.0,7.0,2019.0,0.5626097235809305,13.0,,,,,,
Biz Point,BZPT,2019-08-26,26.0,1.0,8.0,2019.0,0.7107156898949345,12.0,,,,,,
Biz Point,BZPT,2019-09-26,26.0,0.0,9.0,2019.0,0.672980712624775,11.0,,,,,,
Biz Point,BZPT,2020-06-25,25.0,0.0,6.0,2020.0,0.4479829722703784,,11.3,,,,11.3,
Biz Point,BZPT,2020-07-23,23.0,1.0,7.0,2020.0,0.7271062757622216,,11.5,,,,11.5,
Biz Point,BZPT,2020-08-29,29.0,0.0,8.0,2020.0,0.700369572964092,,11.7,,,,11.7,
Biz Point,BZPT,2021-06-14,14.0,0.0,6.0,2021.0,0.5307446981857654,,,10.0,,,,10.0
Biz Point,BZPT,2021-07-26,26.0,0.0,7.0,2021.0,0.7065349646877032,,,11.11,,,,11.11
Biz Point,BZPT,2021-08-20,20.0,1.0,8.0,2021.0,0.9248581166954736,,,11.67,,,,11.67
Biz Point,BZPT,2021-09-16,16.0,0.0,9.0,2021.0,0.9227062052225203,,,11.11,,,,11.11
Biz Point,BZPT,2022-06-12,12.0,0.0,6.0,2022.0,0.2112065312694936,,,,,,,
Biz Point,BZPT,2022-07-17,17.0,0.0,7.0,2022.0,0.5108156115252334,,,11.11,,,,11.11
Biz Point,BZPT,2022-08-08,8.0,0.0,8.0,2022.0,0.6565185321618694,,,12.22,,,,12.22
Biz Point,BZPT,2022-09-08,8.0,1.0,9.0,2022.0,0.9856844520644131,,,11.67,,,,11.67
Biz Point,BZPT,2023-06-14,14.0,0.0,6.0,2023.0,0.2895981916197639,,,,,,,
Biz Point,BZPT,2023-07-13,13.0,0.0,7.0,2023.0,0.6020009925232026,,,10.5,,,,10.5
Biz Point,BZPT,2023-08-13,13.0,1.0,8.0,2023.0,0.9360303245369036,,,12.2,,,,12.2
Biz Point,BZPT,2023-09-27,27.0,0.0,9.0,2023.0,0.9576239443205948,,,11.9,,,,11.9
Biz Point,BZPT-S,2023-07-13,13.0,0.0,7.0,2023.0,0.02152402669978893,,,,,,,
Biz Point,BZPT-S,2023-08-13,13.0,1.0,8.0,2023.0,0.2991551645939199,,,,,,,
Biz Point,BZPT,2024-07-09,9.0,0.0,7.0,2024.0,0.6035758935705958,,,11.1,,,,11.1
Biz Point,BZPT,2024-08-06,6.0,0.0,8.0,2024.0,0.722723264552594,,,11,,11,,11.0
Biz Point,BZPT,2024-09-16,16.0,1.0,9.0,2024.0,1.039651898232674,,,11.1,,11.1,,11.1
Cherry Point-Gulf Rd,CHPT,2017-08-08,8.0,0.0,8.0,2017.0,24.29467732233417,14.0,,,,,,
Cherry Point-Gulf Rd,CHPT,2017-09-04,4.0,1.0,9.0,2017.0,29.37964324472371,,,,,,,
Cherry Point-Gulf Rd,CHPT,2018-08-08,8.0,1.0,8.0,2018.0,25.13829955287955,13.0,,,,,,
Cherry Point-Gulf Rd,CHPT,2019-08-13,13.0,1.0,8.0,2019.0,17.08582308858345,14.0,,,,,,
Cherry Point-Gulf Rd,CHPT,2019-09-11,11.0,0.0,9.0,2019.0,16.46019143171654,13.0,,,,,,
Cherry Point-Gulf Rd,CHPT,2020-09-01,1.0,1.0,9.0,2020.0,33.13075904827389,,13.3,13.3,13.3,13.3,13.3,13.3
Cherry Point-Gulf Rd,CHPT,2021-08-10,10.0,1.0,8.0,2021.0,14.21437024859206,,13.89,12.78,,12.78,13.89,12.78
Cherry Point-Gulf Rd,CHPT,2021-09-04,4.0,,9.0,2021.0,,,,,,,,
Cherry Point-Gulf Rd,CHPT,2022-08-11,11.0,1.0,8.0,2022.0,34.69968542772929,,14.44,12.78,14.44,12.78,14.44,12.78
Cherry Point-Gulf Rd,CHPT,2022-09-10,10.0,0.0,9.0,2022.0,27.31448327211147,,12.22,12.22,12.22,12.22,12.22,12.22
Cherry Point-Gulf Rd,CHPT,2023-08-03,3.0,1.0,8.0,2023.0,19.68324679842806,,12.2,12.2,11.7,12.2,12.0,12.2
Cherry Point-Gulf Rd,CHPT,2024-08-04,4.0,0.0,8.0,2024.0,21.03672331051026,,13.9,15,15,14.4,14.45,14.7
Cherry Point-Gulf Rd,CHPT,2024-09-01,1.0,1.0,9.0,2024.0,24.55885150377195,,12.8,13.9,12.8,13.9,12.8,13.9
Clallam Bay,CLLB,2017-07-09,9.0,0.0,7.0,2017.0,23.09473874885336,13.0,,,,,,
Clallam Bay,CLLB,2017-07-23,23.0,1.0,7.0,2017.0,25.12805293191998,12.0,,,,,,
Clallam Bay,CLLB,2018-07-16,16.0,1.0,7.0,2018.0,18.76749881032586,14.0,,,,,,
Clallam Bay,CLLB,2019-07-19,19.0,1.0,7.0,2019.0,22.33161811806455,14.4,,,,,,
Clallam Bay,CLLB,2020-07-23,23.0,1.0,7.0,2020.0,13.13631626309462,,,12.0,,,,12.0
Clallam Bay,CLLB,2021-08-23,23.0,1.0,8.0,2021.0,15.31502332199931,,16.67,12.22,,,16.67,12.22
Clallam Bay,CLLB,2022-08-29,29.0,1.0,8.0,2022.0,12.72818229315502,,11.67,12.22,,,11.67,12.22
Clallam Bay,CLLB,2023-09-02,2.0,0.0,9.0,2023.0,9.584521479772622,,,,,,,
Coffin Rocks,COFF,2016-08-20,20.0,0.0,8.0,2016.0,1.234134299877926,,,,,,,
Coffin Rocks,COFF,2016-09-26,26.0,1.0,9.0,2016.0,1.282634687737067,11.0,,,,,,
Coffin Rocks,COFF,2017-07-20,20.0,0.0,7.0,2017.0,0.9886603731447924,12.0,,,,,,
Coffin Rocks,COFF,2017-07-23,23.0,0.0,7.0,2017.0,1.17398790961605,12.0,,,,,,
Coffin Rocks,COFF,2017-08-06,6.0,1.0,8.0,2017.0,1.281512766394583,12.0,,,,,,
Coffin Rocks,COFF,2018-07-15,15.0,0.0,7.0,2018.0,1.079224873232597,12.0,,,,,,
Coffin Rocks,COFF,2018-07-15,15.0,0.0,7.0,2018.0,1.023036333364899,,,,,,,
Coffin Rocks,COFF,2018-08-10,10.0,1.0,8.0,2018.0,1.326819342600746,13.0,,,,,,
Coffin Rocks,COFF,2018-09-08,8.0,0.0,9.0,2018.0,1.305918988353082,12.0,,,,,,
Coffin Rocks,COFF,2019-07-20,20.0,0.0,7.0,2019.0,1.078316160297661,12.0,,,,,,
Coffin Rocks,COFF,2019-08-15,15.0,0.0,8.0,2019.0,1.179395188835077,12.0,,,,,,
Coffin Rocks,COFF,2019-09-25,25.0,1.0,9.0,2019.0,1.335529503479387,12.0,,,,,,
Coffin Rocks,COFF,2020-06-20,20.0,0.0,6.0,2020.0,1.089722281381067,,11.2,11.1,,,11.2,11.1
Coffin Rocks,COFF,2020-07-18,18.0,0.0,7.0,2020.0,1.242988575336597,,12.5,12.0,,,12.5,12.0
Coffin Rocks,COFF,2020-08-17,17.0,1.0,8.0,2020.0,1.40308226751293,,12.2,13.0,,,12.2,13.0
Coffin Rocks,COFF,2020-09-17,17.0,0.0,9.0,2020.0,1.33840821677868,,11.1,11.0,,,11.1,11.0
