Bed Name,Site Code,Survey Date,Survey Day,Survey Month,Survey Year,Acres,Temp,Temp1 Shore Edge,Temp1 Water Edge,Temp2 Shore Edge,Temp2 Water Edge,Ave Temp Shore Edge,Ave Temp Water Edge,lat,lon
Biz Point,BZPT,2017-07-25,25.0,7.0,2017.0,0.4623559216720856,11.0,,,,,,,48.44162829,-122.678342
Biz Point,BZPT,2018-07-17,17.0,7.0,2018.0,0.3804726767306705,14.0,,,,,,,48.44162829,-122.678342
Biz Point,BZPT,2018-08-13,13.0,8.0,2018.0,0.6510771934464323,12.0,,,,,,,48.44162829,-122.678342
Biz Point,BZPT,2018-09-10,10.0,9.0,2018.0,0.5578624102972853,11.0,,,,,,,48.44162829,-122.678342
Biz Point,BZPT,2019-07-30,30.0,7.0,2019.0,0.5626097235809305,13.0,,,,,,,48.44162829,-122.678342
Biz Point,BZPT,2019-08-26,26.0,8.0,2019.0,0.7107156898949345,12.0,,,,,,,48.44162829,-122.678342
Biz Point,BZPT,2019-09-26,26.0,9.0,2019.0,0.672980712624775,11.0,,,,,,,48.44162829,-122.678342
Biz Point,BZPT,2020-06-25,25.0,6.0,2020.0,0.4479829722703784,,11.3,,,,11.3,,48.44162829,-122.678342
Biz Point,BZPT,2020-07-23,23.0,7.0,2020.0,0.7271062757622216,,11.5,,,,11.5,,48.44162829,-122.678342
Biz Point,BZPT,2020-08-29,29.0,8.0,2020.0,0.700369572964092,,11.7,,,,11.7,,48.44162829,-122.678342
Biz Point,BZPT,2021-06-14,14.0,6.0,2021.0,0.5307446981857654,,,10.0,,,,10.0,48.44162829,-122.678342
Biz Point,BZPT,2021-07-26,26.0,7.0,2021.0,0.7065349646877032,,,11.11,,,,11.11,48.44162829,-122.678342
Biz Point,BZPT,2021-08-20,20.0,8.0,2021.0,0.9248581166954736,,,11.67,,,,11.67,48.44162829,-122.678342
Biz Point,BZPT,2021-09-16,16.0,9.0,2021.0,0.9227062052225203,,,11.11,,,,11.11,48.44162829,-122.678342
Biz Point,BZPT,2022-06-12,12.0,6.0,2022.0,0.2112065312694936,,,,,,,,48.44162829,-122.678342
Biz Point,BZPT,2022-07-17,17.0,7.0,2022.0,0.5108156115252334,,,11.11,,,,11.11,48.44162829,-122.678342
Biz Point,BZPT,2022-08-08,8.0,8.0,2022.0,0.6565185321618694,,,12.22,,,,12.22,48.44162829,-122.678342
Biz Point,BZPT,2022-09-08,8.0,9.0,2022.0,0.9856844520644131,,,11.67,,,,11.67,48.44162829,-122.678342
Biz Point,BZPT,2023-06-14,14.0,6.0,2023.0,0.2895981916197639,,,,,,,,48.44162829,-122.678342
Biz Point,BZPT,2023-07-13,13.0,7.0,2023.0,0.6020009925232026,,,10.5,,,,10.5,48.44162829,-122.678342
Biz Point,BZPT,2023-08-13,13.0,8.0,2023.0,0.9360303245369036,,,12.2,,,,12.2,48.44162829,-122.678342
Biz Point,BZPT,2023-09-27,27.0,9.0,2023.0,0.9576239443205948,,,11.9,,,,11.9,48.44162829,-122.678342
Biz Point,BZPT-S,2023-07-13,13.0,7.0,2023.0,0.02152402669978893,,,,,,,,48.44162829,-122.678342
Biz Point,BZPT-S,2023-08-13,13.0,8.0,2023.0,0.2991551645939199,,,,,,,,48.44162829,-122.678342
Biz Point,BZPT,2024-07-09,9.0,7.0,2024.0,0.6035758935705958,,,11.1,,,,11.1,48.44162829,-122.678342
Biz Point,BZPT,2024-08-06,6.0,8.0,2024.0,0.722723264552594,,,11,,11,,11.0,48.44162829,-122.678342
Biz Point,BZPT,2024-09-16,16.0,9.0,2024.0,1.039651898232674,,,11.1,,11.1,,11.1,48.44162829,-122.678342
