Bed Name,Site Code,Survey Date,Survey Day,NWSC Max Ext,Survey Month,Survey Year,Acres,Temp,Temp1 Shore Edge,Temp1 Water Edge,Temp2 Shore Edge,Temp2 Water Edge,Ave Temp Shore Edge,Ave Temp Water Edge
Cherry Point-Gulf Rd,CHPT,2017-08-08,8.0,0.0,8.0,2017.0,24.29467732233417,14.0,,,,,,
Cherry Point-Gulf Rd,CHPT,2017-09-04,4.0,1.0,9.0,2017.0,29.37964324472371,,,,,,,
Cherry Point-Gulf Rd,CHPT,2018-08-08,8.0,1.0,8.0,2018.0,25.13829955287955,13.0,,,,,,
Cherry Point-Gulf Rd,CHPT,2019-08-13,13.0,1.0,8.0,2019.0,17.08582308858345,14.0,,,,,,
Cherry Point-Gulf Rd,CHPT,2019-09-11,11.0,0.0,9.0,2019.0,16.46019143171654,13.0,,,,,,
Cherry Point-Gulf Rd,CHPT,2020-09-01,1.0,1.0,9.0,2020.0,33.13075904827389,,13.3,13.3,13.3,13.3,13.3,13.3
Cherry Point-Gulf Rd,CHPT,2021-08-10,10.0,1.0,8.0,2021.0,14.21437024859206,,13.89,12.78,,12.78,13.89,12.78
Cherry Point-Gulf Rd,CHPT,2021-09-04,4.0,,9.0,2021.0,,,,,,,,
Cherry Point-Gulf Rd,CHPT,2022-08-11,11.0,1.0,8.0,2022.0,34.69968542772929,,14.44,12.78,14.44,12.78,14.44,12.78
Cherry Point-Gulf Rd,CHPT,2022-09-10,10.0,0.0,9.0,2022.0,27.31448327211147,,12.22,12.22,12.22,12.22,12.22,12.22
Cherry Point-Gulf Rd,CHPT,2023-08-03,3.0,1.0,8.0,2023.0,19.68324679842806,,12.2,12.2,11.7,12.2,12.0,12.2
Cherry Point-Gulf Rd,CHPT,2024-08-04,4.0,0.0,8.0,2024.0,21.03672331051026,,13.9,15,15,14.4,14.45,14.7
Cherry Point-Gulf Rd,CHPT,2024-09-01,1.0,1.0,9.0,2024.0,24.55885150377195,,12.8,13.9,12.8,13.9,12.8,13.9
