Bed Name,Site Code,Survey Date,Survey Day,Survey Month,Survey Year,Acres,Temp,Temp1 Shore Edge,Temp1 Water Edge,Temp2 Shore Edge,Temp2 Water Edge,Ave Temp Shore Edge,Ave Temp Water Edge,lat,lon
Coffin Rocks,COFF,2016-08-20,20.0,8.0,2016.0,1.234134299877926,,,,,,,,48.41294104,-122.662289
Coffin Rocks,COFF,2016-09-26,26.0,9.0,2016.0,1.282634687737067,11.0,,,,,,,48.41294104,-122.662289
Coffin Rocks,COFF,2017-07-20,20.0,7.0,2017.0,0.9886603731447924,12.0,,,,,,,48.41294104,-122.662289
Coffin Rocks,COFF,2017-07-23,23.0,7.0,2017.0,1.17398790961605,12.0,,,,,,,48.41294104,-122.662289
Coffin Rocks,COFF,2017-08-06,6.0,8.0,2017.0,1.281512766394583,12.0,,,,,,,48.41294104,-122.662289
Coffin Rocks,COFF,2018-07-15,15.0,7.0,2018.0,1.079224873232597,12.0,,,,,,,48.41294104,-122.662289
Coffin Rocks,COFF,2018-07-15,15.0,7.0,2018.0,1.023036333364899,,,,,,,,48.41294104,-122.662289
Coffin Rocks,COFF,2018-08-10,10.0,8.0,2018.0,1.326819342600746,13.0,,,,,,,48.41294104,-122.662289
Coffin Rocks,COFF,2018-09-08,8.0,9.0,2018.0,1.305918988353082,12.0,,,,,,,48.41294104,-122.662289
Coffin Rocks,COFF,2019-07-20,20.0,7.0,2019.0,1.078316160297661,12.0,,,,,,,48.41294104,-122.662289
Coffin Rocks,COFF,2019-08-15,15.0,8.0,2019.0,1.179395188835077,12.0,,,,,,,48.41294104,-122.662289
Coffin Rocks,COFF,2019-09-25,25.0,9.0,2019.0,1.335529503479387,12.0,,,,,,,48.41294104,-122.662289
Coffin Rocks,COFF,2020-06-20,20.0,6.0,2020.0,1.089722281381067,,11.2,11.1,,,11.2,11.1,48.41294104,-122.662289
Coffin Rocks,COFF,2020-07-18,18.0,7.0,2020.0,1.242988575336597,,12.5,12.0,,,12.5,12.0,48.41294104,-122.662289
Coffin Rocks,COFF,2020-08-17,17.0,8.0,2020.0,1.40308226751293,,12.2,13.0,,,12.2,13.0,48.41294104,-122.662289
Coffin Rocks,COFF,2020-09-17,17.0,9.0,2020.0,1.33840821677868,,11.1,11.0,,,11.1,11.0,48.41294104,-122.662289
Coffin Rocks,COFF,2021-06-09,9.0,6.0,2021.0,1.027036503768191,,9.0,10.0,,,9.0,10.0,48.41294104,-122.662289
Coffin Rocks,COFF,2021-07-07,7.0,7.0,2021.0,1.457103698574426,,10.0,,,,10.0,,48.41294104,-122.662289
Coffin Rocks,COFF,2021-08-05,5.0,8.0,2021.0,1.695370600907548,,12.0,13.0,,,12.0,13.0,48.41294104,-122.662289
Coffin Rocks,COFF,2021-09-04,4.0,9.0,2021.0,1.531878457063211,,11.0,11.5,,,11.0,11.5,48.41294104,-122.662289
Coffin Rocks,COFF,2022-06-25,25.0,6.0,2022.0,1.008997831228255,,11.11,11.1,,,11.11,11.1,48.41294104,-122.662289
Coffin Rocks,COFF,2022-07-25,25.0,7.0,2022.0,1.246718335053428,,12.22,12.22,,,12.22,12.22,48.41294104,-122.662289
Coffin Rocks,COFF,2022-08-25,25.0,8.0,2022.0,1.68424180031315,,11.67,11.67,,,11.67,11.67,48.41294104,-122.662289
Coffin Rocks,COFF,2022-09-10,10.0,9.0,2022.0,1.617699351120461,,11.67,11.11,,,11.67,11.11,48.41294104,-122.662289
Coffin Rocks,COFF,2023-06-21,21.0,6.0,2023.0,1.085299136447244,,,,,,,,48.41294104,-122.662289
Coffin Rocks,COFF,2023-07-20,20.0,7.0,2023.0,1.405451302139772,,12.2,12.2,12.8,12.8,12.5,12.5,48.41294104,-122.662289
Coffin Rocks,COFF,2023-08-15,15.0,8.0,2023.0,1.62153391465468,,11.5,11.5,11.5,11.5,11.5,11.5,48.41294104,-122.662289
Coffin Rocks,COFF,2024-06-20,20.0,6.0,2024.0,1.046606098754993,,11.1,11.1,11.7,11.1,11.399999999999999,11.1,48.41294104,-122.662289
Coffin Rocks,COFF,2024-07-19,19.0,7.0,2024.0,1.475280681848887,,12.2,12.2,12.2,12.2,12.2,12.2,48.41294104,-122.662289
Coffin Rocks,COFF,2024-08-19,19.0,8.0,2024.0,1.526096660289631,,12.8,12.2,12.8,12.8,12.8,12.5,48.41294104,-122.662289
Coffin Rocks,COFF,2024-09-16,16.0,9.0,2024.0,1.766295423807352,,11.7,11.7,11.7,11.7,11.7,11.7,48.41294104,-122.662289
