Bed Name,Site Code,Survey Date,Survey Day,Survey Month,Survey Year,Acres,Temp,Temp1 Shore Edge,Temp1 Water Edge,Temp2 Shore Edge,Temp2 Water Edge,Ave Temp Shore Edge,Ave Temp Water Edge,lat,lon
Freshwater Bay 1,FWB,2016-07-30,30.0,7.0,2016.0,145.0896527333321,12.0,,,,,,,48.14080729,-123.608792
Freshwater Bay 1,FWB,2016-08-19,19.0,8.0,2016.0,169.6961176419129,14.0,,,,,,,48.14080729,-123.608792
Freshwater Bay 1,FWB,2017-08-20,20.0,8.0,2017.0,168.8712670368248,,,,,,,,48.14080729,-123.608792
Freshwater Bay 1,FWB,2018-07-26,26.0,7.0,2018.0,78.00622317318305,12.0,,,,,,,48.14080729,-123.608792
Freshwater Bay 1,FWB,2019-07-20,20.0,7.0,2019.0,117.8605333294098,14.0,,,,,,,48.14080729,-123.608792
Freshwater Bay 1,FWB,2020-08-19,19.0,8.0,2020.0,112.6657642355278,,,12.2,,,,12.2,48.14080729,-123.608792
Freshwater Bay 1,FWB,2021-07-27,27.0,7.0,2021.0,128.5099240583174,,,,,,,,48.14080729,-123.608792
Freshwater Bay 1,FWB,2022-07-31,31.0,7.0,2022.0,41.87291281515778,,13.89,14.44,,12.22,13.89,13.33,48.14080729,-123.608792
Freshwater Bay 1,FWB,2023-08-14,14.0,8.0,2023.0,121.9744270375003,,11.7,11.7,12.8,11.1,12.3,11.4,48.14080729,-123.608792
Freshwater Bay 1,FWB,2024-08-22,22.0,8.0,2024.0,145.5984661335354,,10,10,9.8,9,9.9,9.5,48.14080729,-123.608792
