Bed Name,Site Code,Survey Date,Survey Day,NWSC Max Ext,Survey Month,Survey Year,Acres,Temp,Temp1 Shore Edge,Temp1 Water Edge,Temp2 Shore Edge,Temp2 Water Edge,Ave Temp Shore Edge,Ave Temp Water Edge
Hoypus Point,HOYP,2016-07-19,19.0,0.0,7.0,2016.0,4.042001049829784,14.0,,,,,,
Hoypus Point,HOYP,2016-07-22,22.0,0.0,7.0,2016.0,1.134139986242436,12.0,,,,,,
Hoypus Point,HOYP,2016-08-19,19.0,1.0,8.0,2016.0,3.712156321615214,14.0,,,,,,
Hoypus Point,HOYP,2016-09-14,14.0,0.0,9.0,2016.0,3.393510060818586,13.0,,,,,,
Hoypus Point,HOYP,2017-06-25,25.0,0.0,6.0,2017.0,1.097826531993957,9.0,,,,,,
Hoypus Point,HOYP,2017-07-25,25.0,1.0,7.0,2017.0,3.605777746551023,10.0,,,,,,
Hoypus Point,HOYP,2018-07-17,17.0,0.0,7.0,2018.0,4.852531264771921,,,,,,,
Hoypus Point,HOYP,2018-07-17,17.0,0.0,7.0,2018.0,4.501536179676943,,,,,,,
Hoypus Point,HOYP,2018-07-17,17.0,0.0,7.0,2018.0,2.96876654840616,13.0,,,,,,
Hoypus Point,HOYP,2018-08-14,14.0,0.0,8.0,2018.0,7.488670051442669,13.0,,,,,,
Hoypus Point,HOYP,2018-08-14,14.0,0.0,8.0,2018.0,5.703137798367451,,,,,,,
Hoypus Point,HOYP,2018-08-14,14.0,0.0,8.0,2018.0,7.376734078016444,,,,,,,
Hoypus Point,HOYP,2021-06-07,7.0,0.0,6.0,2021.0,1.55124482559934,,11.0,11.0,,,11.0,11.0
Hoypus Point,HOYP,2021-07-14,7.0,0.0,14.0,2021.0,,,14.4,13.3,,,14.4,13.3
Hoypus Point,HOYP,2021-08-11,11.0,0.0,8.0,2021.0,2.108597383375716,,16.5,15.0,,,16.5,15.0
Hoypus Point,HOYP,2021-09-06,6.0,1.0,9.0,2021.0,2.128078204958165,,16.0,14.0,,,16.0,14.0
Hoypus Point,HOYP,2022-07-18,18.0,1.0,7.0,2022.0,3.944428003098682,,13.0,12.8,13.1,13.2,13.05,13.0
Hoypus Point,HOYP,2023-06-22,22.0,0.0,6.0,2023.0,1.991680681879424,,14.1,13.2,14.3,12.6,14.2,12.9
Hoypus Point,HOYP,2023-07-20,20.0,0.0,7.0,2023.0,2.761130139521437,,13.0,12.6,13.9,12.7,13.5,12.7
Hoypus Point,HOYP,2023-08-15,15.0,1.0,8.0,2023.0,3.468347116364568,,14.5,13.9,14.8,13.4,14.7,13.7
Hoypus Point,HOYP,2023-09-28,28.0,0.0,9.0,2023.0,2.464258583332052,,12.5,12.3,12.5,12.4,12.5,12.4
Hoypus Point,HOYP,2024-06-19,19.0,0.0,6.0,2024.0,2.622417930608214,,11.8,12,11.8,11.8,11.8,11.9
Hoypus Point,HOYP,2024-07-18,18.0,0.0,7.0,2024.0,2.374159303133132,,12.2,11.9,12.2,12.2,12.2,12.05
Hoypus Point,HOYP,2024-08-16,16.0,1.0,8.0,2024.0,3.40628028058965,,12.8,13,12.8,12.7,12.8,12.85
Hoypus Point,HOYP,2024-09-16,16.0,0.0,9.0,2024.0,2.499621148832651,,12.2,12.1,12.3,12.1,12.25,12.1
