Bed Name,Site Code,Survey Date,Survey Day,Survey Month,Survey Year,Acres,Temp,Temp1 Shore Edge,Temp1 Water Edge,Temp2 Shore Edge,Temp2 Water Edge,Ave Temp Shore Edge,Ave Temp Water Edge,lat,lon
Lowell,LWLP,2016-07-23,23.0,7.0,2016.0,12.80154519424263,17.0,,,,,,,48.12038962,-122.485688
Lowell,LWLP,2016-08-19,19.0,8.0,2016.0,14.93488097965037,16.0,,,,,,,48.12038962,-122.485688
Lowell,LWLP,2016-09-16,16.0,9.0,2016.0,18.08136481420673,14.0,,,,,,,48.12038962,-122.485688
Lowell,LWLP,2017-07-26,26.0,7.0,2017.0,3.879937671671368,14.0,,,,,,,48.12038962,-122.485688
Lowell,LWLP,2017-08-23,23.0,8.0,2017.0,13.88255765633269,,,,,,,,48.12038962,-122.485688
Lowell,LWLP,2020-08-22,22.0,8.0,2020.0,5.854933089178628,,14.3,13.9,,,14.3,13.9,48.12038962,-122.485688
Lowell,LWLP,2020-08-22,22.0,8.0,2020.0,4.915611123399522,,14.3,13.9,,,14.3,13.9,48.12038962,-122.485688
Lowell,LWLP,2020-09-16,16.0,9.0,2020.0,5.17373996537214,,14.0,14.0,,,14.0,14.0,48.12038962,-122.485688
Lowell,LWLP,2021-07-14,14.0,7.0,2021.0,13.32867539243506,,16.4,15.8,,,16.4,15.8,48.12038962,-122.485688
Lowell,LWLP,2021-08-11,11.0,8.0,2021.0,18.85643298296679,,17.78,16.11,,,17.78,16.11,48.12038962,-122.485688
Lowell,LWLP,2021-09-19,19.0,9.0,2021.0,22.81184584460217,,14.4,12.7,,,14.4,12.7,48.12038962,-122.485688
Lowell,LWLP,2022-08-12,12.0,8.0,2022.0,10.88491482020194,,17.8,17.8,,,17.8,17.8,48.12038962,-122.485688
Lowell,LWLP,2023-06-20,20.0,6.0,2023.0,1.001324094733645,,13.9,13.9,13.9,13.9,13.9,13.9,48.12038962,-122.485688
Lowell,LWLP,2023-07-16,16.0,7.0,2023.0,4.359026765434055,,16.5,15.5,15.7,15.7,15.8,15.7,48.12038962,-122.485688
Lowell,LWLP,2023-08-15,15.0,8.0,2023.0,19.73894685987086,,21.3,18.1,18.4,21.0,19.9,19.6,48.12038962,-122.485688
Lowell,LWLP,2024-06-19,19.0,6.0,2024.0,3.175803932283598,,20.4 & 16.2,14.3 & 14.5,20.4 & 15.4,14.8 & 13.5,18.099999999999998,14.275,48.12038962,-122.485688
Lowell,LWLP,2024-07-18,18.0,7.0,2024.0,19.40551025520972,,17.4,16.9,17.1,17.2,17.25,17.049999999999997,48.12038962,-122.485688
Lowell,LWLP,2024-08-30,30.0,8.0,2024.0,24.16618283264964,,16.4,15.6,17,16.5,16.7,16.05,48.12038962,-122.485688
Lowell,LWLP,2024-09-15,15.0,9.0,2024.0,24.88908266453962,,13.3,13.5,13.3,13.9,13.3,13.7,48.12038962,-122.485688
