Bed Name,Site Code,Survey Date,Survey Day,NWSC Max Ext,Survey Month,Survey Year,Acres,Temp,Temp1 Shore Edge,Temp1 Water Edge,Temp2 Shore Edge,Temp2 Water Edge,Ave Temp Shore Edge,Ave Temp Water Edge
North Beach East,NB-E,2015-09-12,12.0,0.0,9.0,2015.0,2.422551357438459,,,,,,,
North Beach East,NB-E,2016-07-01,1.0,0.0,7.0,2016.0,10.56041447748284,12.0,,,,,,
North Beach East,NB-E,2016-07-01,1.0,0.0,7.0,2016.0,12.81357109156979,12.0,,,,,,
North Beach East,NB-E,2016-07-11,11.0,0.0,7.0,2016.0,9.203084873904546,,,,,,,
North Beach East,NB-E,2016-07-11,11.0,0.0,7.0,2016.0,14.15154869773814,13.0,,,,,,
North Beach East,NB-E,2016-07-11,11.0,0.0,7.0,2016.0,9.251265551734518,13.0,,,,,,
North Beach East,NB-E,2016-08-02,2.0,0.0,8.0,2016.0,21.60376011900929,15.0,,,,,,
North Beach East,NB-E,2016-08-19,19.0,0.0,8.0,2016.0,20.32907228906175,13.0,,,,,,
North Beach East,NB-E,2016-08-25,25.0,0.0,8.0,2016.0,18.92360798442222,13.0,,,,,,
North Beach East,NB-E,2016-09-20,20.0,0.0,9.0,2016.0,19.67446520268424,13.0,,,,,,
North Beach East,NB-E,2016-09-22,22.0,1.0,9.0,2016.0,22.09111567324684,13.0,,,,,,
North Beach East,NB-E,2017-06-24,24.0,0.0,6.0,2017.0,10.86725378659815,10.0,,,,,,
North Beach East,NB-E,2017-07-22,22.0,1.0,7.0,2017.0,18.51531655105461,11.0,,,,,,
North Beach East,NB-E,2017-09-04,4.0,0.0,9.0,2017.0,16.55596167476143,,,,,,,
North Beach East,NB-E,2018-06-23,23.0,0.0,6.0,2018.0,3.812296469706304,11.0,,,,,,
North Beach East,NB-E,2018-07-28,28.0,0.0,7.0,2018.0,6.033420753978135,11.0,,,,,,
North Beach East,NB-E,2018-08-25,25.0,1.0,8.0,2018.0,9.329158651029495,,,,,,,
North Beach East,NB-E,2019-06-29,29.0,0.0,6.0,2019.0,1.059513911457642,12.0,11.5,11.6,,,,
North Beach East,NB-E,2019-07-27,27.0,0.0,7.0,2019.0,9.782073035890486,12.0,,,,,,
North Beach East,NB-E,2019-09-02,2.0,1.0,9.0,2019.0,11.85094286269241,13.0,,,,,,
North Beach East,NB-E,2020-06-20,20.0,0.0,6.0,2020.0,6.096244445604825,,11.5,10.0,,,11.5,10.0
North Beach East,NB-E,2020-07-18,18.0,0.0,7.0,2020.0,13.04847052352668,,15.0,13.0,15.5,13.0,15.25,13.0
North Beach East,NB-E,2020-08-26,26.0,1.0,8.0,2020.0,14.85305392168495,,14.0,14.0,,,14.0,14.0
North Beach East,NB-E,2021-06-22,22.0,0.0,6.0,2021.0,18.30865244881905,,,10.6,,,,10.6
North Beach East,NB-E,2021-07-23,23.0,0.0,7.0,2021.0,20.49386533184265,,,11.2,,,,11.2
North Beach East,NB-E,2021-08-20,20.0,1.0,8.0,2021.0,25.57907831201522,,12.1,,,,12.1,
North Beach East,NB-E,2022-06-25,25.0,0.0,6.0,2022.0,6.122088705623147,,11.7,10.7,11.1,11.2,11.399999999999999,10.95
North Beach East,NB-E,2022-07-27,27.0,0.0,7.0,2022.0,16.58503982928152,,12.0,11.1,11.1,11.3,11.55,11.2
North Beach East,NB-E,2022-08-27,27.0,1.0,8.0,2022.0,19.14541036077254,,11.8,11.5,11.5,11.6,11.65,11.55
North Beach East,NB-E,2023-07-15,15.0,0.0,7.0,2023.0,13.82324599959217,,7.6,11.5,12.1,11.5,9.9,11.5
North Beach East,NB-E,2023-08-12,12.0,1.0,8.0,2023.0,18.18814590240919,,11.8,11.8,12.3,11.8,12.0,11.8
North Beach East,NB-E,2024-06-22,22.0,0.0,6.0,2024.0,2.603989032816809,,13.8,11,11.1,10.7,12.45,10.85
North Beach East,NB-E,2024-07-18,18.0,0.0,7.0,2024.0,6.985039767959858,,14.7,11.4,11.7,11.4,13.2,11.4
North Beach East,NB-E,2024-08-17,17.0,1.0,8.0,2024.0,19.29639125660871,,,,11.8,10.9,11.8,10.9
