Bed Name,Site Code,Survey Date,Survey Day,NWSC Max Ext,Survey Month,Survey Year,Acres,Temp,Temp1 Shore Edge,Temp1 Water Edge,Temp2 Shore Edge,Temp2 Water Edge,Ave Temp Shore Edge,Ave Temp Water Edge
Shannon Point East,SHPT-E,2017-07-22,22.0,0.0,7.0,2017.0,2.77802715136314,14.0,,,,,,
Shannon Point East,SHPT-E,2017-07-25,25.0,0.0,7.0,2017.0,3.023948824772205,15.0,,,,,,
Shannon Point East,SHPT-E,2017-08-18,18.0,0.0,8.0,2017.0,7.248003084230811,12.0,,,,,,
Shannon Point East,SHPT-E,2017-09-15,15.0,1.0,9.0,2017.0,8.398103503089558,14.0,,,,,,
Shannon Point East,SHPT-E,2018-06-29,29.0,0.0,6.0,2018.0,3.866043240072703,,,,,,,
Shannon Point East,SHPT-E,2018-07-23,23.0,0.0,7.0,2018.0,5.828925942373867,12.0,,,,,,
Shannon Point East,SHPT-E,2018-08-24,24.0,0.0,8.0,2018.0,9.730782682894647,13.0,,,,,,
Shannon Point East,SHPT-E,2018-09-10,10.0,1.0,9.0,2018.0,10.12835949235011,14.0,,,,,,
Shannon Point East,SHPT-E,2019-06-27,27.0,0.0,6.0,2019.0,6.197558020458584,15.0,,,,,,
Shannon Point East,SHPT-E,2019-07-28,28.0,0.0,7.0,2019.0,8.619402039832096,15.0,,,,,,
Shannon Point East,SHPT-E,2019-08-18,18.0,1.0,8.0,2019.0,12.09649628289971,17.0,,,,,,
Shannon Point East,SHPT-E,2020-07-17,17.0,0.0,7.0,2020.0,6.122181151799136,,16.4,15.1,,,16.4,15.1
Shannon Point East,SHPT-E,2020-08-28,28.0,0.0,8.0,2020.0,5.86705333485133,,13.0,13.3,,,13.0,13.3
Shannon Point East,SHPT-E,2020-09-18,18.0,1.0,9.0,2020.0,8.583312937775062,,11.4,11.3,,,11.4,11.3
Shannon Point East,SHPT-E,2021-06-25,25.0,0.0,6.0,2021.0,6.74426687236261,,16.67,12.22,,,16.67,12.22
Shannon Point East,SHPT-E,2021-07-20,20.0,0.0,7.0,2021.0,7.5848165288028,,12.22,11.11,,,12.22,11.11
Shannon Point East,SHPT-E,2021-08-20,20.0,1.0,8.0,2021.0,8.483058761344934,,13.33,13.33,,,13.33,13.33
Shannon Point East,SHPT-E,2021-09-19,19.0,0.0,9.0,2021.0,7.589911958176506,,11.11,10.0,,,11.11,10.0
Shannon Point East,SHPT-E,2022-06-03,3.0,0.0,6.0,2022.0,3.259389115939806,,9.44,9.44,,,9.44,9.44
Shannon Point East,SHPT-E,2022-07-01,1.0,1.0,7.0,2022.0,5.374904479777809,,10.56,11.11,,,10.56,11.11
Shannon Point East,SHPT-E,2022-08-12,12.0,0.0,8.0,2022.0,5.196679295438225,,14.44,11.67,,,14.44,11.67
Shannon Point East,SHPT-E,2023-06-01,1.0,0.0,6.0,2023.0,0.09653673409980326,,11.1,11.1,11.1,11.1,11.1,11.1
Shannon Point East,SHPT-E,2023-07-01,1.0,0.0,7.0,2023.0,0.441252993425508,,11.7,11.7,11.7,11.7,11.7,11.7
Shannon Point East,SHPT-E,2023-08-04,4.0,1.0,8.0,2023.0,1.216886744308951,,12.8,12.8,12.8,12.8,12.8,12.8
Shannon Point East,SHPT-E,2023-09-01,1.0,0.0,9.0,2023.0,0.2291179306695919,,13.3,12.8,,,13.6,12.8
Shannon Point East,SHPT-E,2024-08-16,16.0,1.0,8.0,2024.0,0.3904015105616419,,12.2,12.2,12.2,12.2,12.2,12.2
Shannon Point East,SHPT-E,2024-09-14,14.0,0.0,9.0,2024.0,0.02973235745491449,,12.2,12.2,,,12.2,12.2
