Bed Name,Site Code,Survey Date,Survey Day,NWSC Max Ext,Survey Month,Survey Year,Acres,Temp,Temp1 Shore Edge,Temp1 Water Edge,Temp2 Shore Edge,Temp2 Water Edge,Ave Temp Shore Edge,Ave Temp Water Edge
Shannon Point West,SHPT-W,2017-08-18,18.0,0.0,8.0,2017.0,2.813398786569197,12.0,,,,,,
Shannon Point West,SHPT-W,2017-09-15,15.0,1.0,9.0,2017.0,5.081828816684256,12.0,,,,,,
Shannon Point West,SHPT-W,2018-06-29,29.0,0.0,6.0,2018.0,0.4316210982951136,,,,,,,
Shannon Point West,SHPT-W,2018-07-23,23.0,0.0,7.0,2018.0,0.7787498417206232,14.0,,,,,,
Shannon Point West,SHPT-W,2018-07-23,23.0,0.0,7.0,2018.0,0.8735649644480384,14.0,,,,,,
Shannon Point West,SHPT-W,2018-08-24,24.0,0.0,8.0,2018.0,7.018776555780215,13.0,,,,,,
Shannon Point West,SHPT-W,2018-09-10,10.0,1.0,9.0,2018.0,9.81817641829785,16.0,,,,,,
Shannon Point West,SHPT-W,2019-06-27,27.0,0.0,6.0,2019.0,1.002906469963348,14.0,,,,,,
Shannon Point West,SHPT-W,2019-07-28,28.0,1.0,7.0,2019.0,4.414528847533525,14.0,,,,,,
Shannon Point West,SHPT-W,2019-08-18,18.0,0.0,8.0,2019.0,3.446138685538417,,,,,,,
Shannon Point West,SHPT-W,2020-07-17,17.0,0.0,7.0,2020.0,1.44162628033787,,14.4,14.4,,,14.4,14.4
Shannon Point West,SHPT-W,2020-08-28,28.0,0.0,8.0,2020.0,3.111906600214144,,12.8,12.8,,,12.8,12.8
Shannon Point West,SHPT-W,2020-09-18,18.0,1.0,9.0,2020.0,7.790410330384972,,11.3,11.5,,,11.3,11.5
Shannon Point West,SHPT-W,2021-06-25,25.0,0.0,6.0,2021.0,4.765092173557997,,12.22,11.67,,,12.22,11.67
Shannon Point West,SHPT-W,2021-07-20,20.0,0.0,7.0,2021.0,4.395727334453112,,11.67,11.67,,,11.67,11.67
Shannon Point West,SHPT-W,2021-08-20,20.0,0.0,8.0,2021.0,3.980520633450055,,13.33,13.33,,,13.33,13.33
Shannon Point West,SHPT-W,2021-09-19,19.0,1.0,9.0,2021.0,4.860295687805859,,11.11,10.0,,10.56,11.11,10.280000000000001
Shannon Point West,SHPT-W,2022-07-01,1.0,0.0,7.0,2022.0,1.647364067002055,,12.22,11.11,,,12.22,11.11
Shannon Point West,SHPT-W,2022-08-12,12.0,1.0,8.0,2022.0,3.267263721503619,,12.78,11.11,,,12.78,11.11
Shannon Point West,SHPT-W,2023-07-01,1.0,0.0,7.0,2023.0,0.6112888115665822,,11.7,12.2,12.8,11.7,12.3,12.0
Shannon Point West,SHPT-W,2023-09-01,1.0,1.0,9.0,2023.0,4.720686803974292,,13.3,13.9,12.8,13.3,12.9,13.4
Shannon Point West,SHPT-W,2024-06-19,19.0,0.0,6.0,2024.0,0.6656728954244386,,12,12,12,12,12.0,12.0
Shannon Point West,SHPT-W,2024-07-17,17.0,0.0,7.0,2024.0,0.5303139559534863,,14.4,14.4,14.4,14.4,14.4,14.4
Shannon Point West,SHPT-W,2024-08-16,16.0,1.0,8.0,2024.0,6.095016535272763,,12.2,12.2,12.2,12.2,12.2,12.2
Shannon Point West,SHPT-W,2024-09-14,14.0,0.0,9.0,2024.0,5.835065727263354,,12.2,12.2,12.2,12.2,12.2,12.2
