Site Code,Survey Day,Survey Month,Survey Year,Acres,Temp_t,Temp_t_minus1,Temp_t_minus2,Temp_t_minus3,Temp_t_minus4,PctAcreChange
AISP,31.0,7.0,2018.0,0.1179025891108278,16.0,15.415,15.415,15.415,15.415,
AISP,1.0,8.0,2019.0,0.1671668631808403,16.0,16.0,16.0,16.0,16.0,41.78387806539548
AISP,20.0,7.0,2020.0,0.327541565501017,15.15,16.0,16.0,15.415,15.415,95.93689758160029
AISP,27.0,7.0,2021.0,0.2075287306305486,14.44,15.15,16.0,16.0,15.415,-36.64049009685024
AISP,31.0,7.0,2022.0,0.2961717906768201,20.0,14.44,15.15,16.0,16.0,42.71363284348209
AISP,20.0,7.0,2023.0,0.2759983014053218,12.2,20.0,14.44,15.15,16.0,-6.811414829682894
AISP,21.0,7.0,2024.0,0.4213896196150675,14.7,12.2,20.0,14.44,15.15,52.678338043910244
BZPT,25.0,7.0,2017.0,0.4623559216720856,11.0,11.0,11.0,11.0,11.0,
BZPT,13.0,8.0,2018.0,0.6510771934464323,12.0,11.0,12.0,12.0,12.0,40.817314741389346
BZPT,26.0,8.0,2019.0,0.7107156898949345,12.0,12.0,11.0,12.0,12.0,9.159973202687354
BZPT,23.0,7.0,2020.0,0.7271062757622216,11.0,12.0,12.0,11.0,11.0,2.3062085304054847
BZPT,20.0,8.0,2021.0,0.9248581166954736,12.0,12.0,12.0,12.0,11.0,27.19710275171945
BZPT,8.0,9.0,2022.0,0.9856844520644132,,,,12.0,12.0,6.576828842273952
BZPT,13.0,8.0,2023.0,0.9360303245369036,12.0,12.0,12.0,12.0,12.0,-5.037527722336921
BZPT,16.0,9.0,2024.0,1.039651898232674,,,,,,11.070322293995826
BZPT-S,13.0,8.0,2023.0,0.2991551645939199,,,,,,
CHPT,4.0,9.0,2017.0,29.37964324472371,13.325000000000001,13.325000000000001,13.325000000000001,13.325000000000001,13.325000000000001,
CHPT,8.0,8.0,2018.0,25.13829955287955,13.0,13.209,13.209,13.209,13.209,-14.436334902078373
CHPT,13.0,8.0,2019.0,17.08582308858345,14.0,13.0,13.209,13.209,13.209,-32.03270152524578
CHPT,1.0,9.0,2020.0,33.13075904827389,13.3,14.0,13.0,13.325000000000001,13.325000000000001,93.90789004722564
CHPT,10.0,8.0,2021.0,14.21437024859206,13.335,13.3,14.0,13.0,13.209,-57.096152768849315
CHPT,11.0,8.0,2022.0,34.69968542772929,13.61,13.335,13.3,14.0,13.0,144.1169381469173
CHPT,3.0,8.0,2023.0,19.68324679842806,12.1,13.61,13.335,13.3,14.0,-43.2754315902278
CHPT,1.0,9.0,2024.0,24.55885150377195,13.350000000000001,12.1,13.61,13.335,13.3,24.770327554564165
CLLB,23.0,7.0,2017.0,25.12805293191998,12.0,13.466666666666667,13.466666666666667,13.466666666666667,13.466666666666667,
CLLB,16.0,7.0,2018.0,18.76749881032586,14.0,12.0,13.466666666666667,13.466666666666667,13.466666666666667,-25.31256257230482
CLLB,19.0,7.0,2019.0,22.33161811806455,14.4,14.0,12.0,13.466666666666667,13.466666666666667,18.990912661082547
