OBJECTID,Location,Bed Name,Survey Date,Survey Month,Survey Year,Start Time,End Time,Tide Station,Tidal Ht m,Temp1 Shore Edge,Ave Temp Shore Edge,Observations,Additional Obs,Survey_ID,County,Site Code,Survey Day,NWSC Max Ext,DNR Max Ext,Visit Num,Survey Num,Analyze,Analyze Notes,Acres,Acres NWSC clip,Acres Ave NWSC Max Ext,Acres DNR clip,Miles,Weather,Survey Conditions,MLLW Tidal Ht m,Depth2 Shore Edge,Depth2 Water Edge,Ave Depth Shore Edge m,Ave Depth Water Edge m,MLLW Depth2 Shore Edge m,MLLW Depth2 Water Edge m,Current Station,Current Knots,Temp2 Shore Edge,Temp2 Water Edge,ToBe,ToWa,BeL,BeR,Notes,Extent Start Waypoint,Extent End Waypoint,Bulb m2,Shape__Area,Shape__Length
1,Ebey's Landing,Ebey's Landing,2015-06-14,6,2015,09:23:00,10:18:00,Admiralty Head,-0.4572,,,"1) Lots (10^6) of probably kelp crab  zoea in kelp beds (soup)!
2) Inshore is a mixture of bull kelp, feather boa, and eelgrass",,Ebeys_Landing_June_14_2015,Island,EBL,14,0,0,1,1,1,,9.49075390179176,9.49075390179176,,9.49766749488295,0.760310532138374,,,,,,,,,,,,,,,,,,,,,1.759,413718.397094727,4015.9017227513
2,Ebey's Landing,Ebey's Landing,2015-07-19,7,2015,12:20:00,13:28:00,Admiralty Head,,,,,,Ebeys_Landing_July_19_2015,Island,EBL,19,0,0,2,1,1,,14.6260627859406,14.6260627859406,,14.6367187263966,0.947730194801187,,,,,,,,,,,,,,,,,,,,,1.8222,637575.510620117,5005.83839392325
3,Ebey's Landing,Ebey's Landing,2015-08-15,8,2015,11:13:00,12:31:00,Admiralty Head,,,,,,Ebeys_Landing_Aug_15_2015,Island,EBL,15,1,1,3,1,1,,18.3540441562447,18.3540441562447,18.354,18.3674138600061,1.18800350402758,,,,,,,,,,,,,,,,,,,,,1.2,800084.648925781,6274.9438167765
4,Ebey's Landing,Ebey's Landing,2015-09-26,9,2015,08:40:00,09:46:00,Admiralty head,0.1524,,,"Lots of heer,ams gulls, glavcous winged gulls, western gulls, school of small (<100 mm )salmonics in kelp, occasionally jumping adult salmonids (trout-like); many perch-like fish, few cyanne jellyfish",,Ebeys_Landing_Sept_26_2015,Island,EBL,26,0,0,4,1,1,,17.8856415126058,17.8856415126058,,17.8986760129397,1.109369966945,,,,,,,,,,,,,,,,,,,,,1.6889,779666.330566406,5859.60751848299
5,Hastie Lake Launch,Hastie Lake,2015-06-15,6,2015,,,,,,,,,Hastie_Lake_June_15_2015,Island,HSTL,15,,,1,1,1,,13.2878368083715,,,,1.18996071760174,,,,,,,,,,,,,,,,,,,,,,579288.491333008,6285.54381282297
6,Hastie Lake Launch,Hastie Lake,2015-07-27,7,2015,14:17:00,16:28:00,Sunset Beach (9447951),1.6764,,,,,Hastie_Lake_July_27_2015,Island,HSTL,27,,,2,1,1,,12.2600969453485,,,,1.81936151840743,,,,,,,,,,,,,,,,,,,,,0.8444,534483.779418945,9610.12982843017
7,Hastie Lake Launch,Hastie Lake,2015-08-23,8,2015,,,,,,,,,Hastie_Lake_Aug_23_2015,Island,HSTL,23,,,3,1,1,,14.5457352784514,,,,1.75518117402495,,,,,,,,,,,,,,,,,,,,,,634127.033203125,9271.12033674791
8,Hastie Lake Launch,Hastie Lake,2015-09-20,9,2015,,,,,,,,,Hastie_Lake_Sept_20_2015,Island,HSTL,20,,,4,1,1,,10.0105892718043,,,,1.98309891062911,,,,,,,,,,,,,,,,,,,,,,436415.552856445,10475.0149603846
9,Libbey Beach,Libbey Beach,2015-06-14,6,2015,,,,,,,,,Libbey_Beach_June_00_2015,Island,LIBB,14,,,1,1,1,,0.755366703634968,,,,0.193274291881841,,,,,,,,,,,,,,,,,,,,,,32929.2196044922,1020.8827814257
10,Libbey Beach,Libbey Beach,2015-07-18,7,2015,06:40:00,07:16:00,Point Partridge,1.524,,,,,Libbey_Beach_July_18_2015,Island,LIBB,18,,,2,1,1,,0.580950394752423,,,,0.205793428882164,,,,,,,,,,,,,,,,,,,,,0.4889,25325.7698974609,1087.00939823683
